sequence,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBv/TFDU+AAAvhFzpBOpB6tB0mBlqBxuB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBvCmFDK+AAAvhFTpB6oB1mBMqB2uBRvB,v115@DhB8IeB8GeC8FeE8Je1OYaAFLDmClcJSAVDEHBEooR?BUoAVBpiLuCKHBAAvhFxqB6oB0hBXgBOkBzqB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBK+TFDUHBAAvhFWqBZkB6oB0mB1qBzpB,v115@DhB8IeB8GeC8FeE8Je0KYaAFLDmClcJSAVDEHBEooR?BaoAVB0SltCKHBAAvhF1uB6tBRrBXlBOpBTrB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVB0izPCJHBAAvhF1uB6tB0mBOpBRqBTqB,v115@DhB8IeB8GeC8FeE8JeTJYaAFLDmClcJSAVDEHBEooR?BPoAVBaN8LC0/AAAvhF0qB3mB6oBxpBFmBmpB,v115@DhB8IeB8GeC8FeE8Je3JYaAFLDmClcJSAVDEHBEooR?BToAVB0izPCJHBAAvhFFrB6oB0hBOkBRqBTqB,v115@DhB8IeB8GeC8FeE8Je2OYaAFLDmClcJSAVDEHBEooR?BKoAVBpiLuCUHBAAvhFxqB6oB0hB/kBFlBzqB,v115@DhB8IeB8GeC8FeE8Je1OYaAFLDmClcJSAVDEHBEooR?BUoAVBzXUPCP+AAAvhF3mBUlB6oBOkBzqBxvB,v115@DhB8IeB8GeC8FeE8Je2OYaAFLDmClcJSAVDEHBEooR?BKoAVBpC+tCaHBAAvhFxqB6oB1mB/kBUlBzqB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBqijxCP+AAAvhFmpB6oB0hBllBTpBxuB,v115@DhB8IeB8GeC8FeE8JeTJYaAFLDmClcJSAVDEHBEooR?BPoAVB0izPCT+AAAvhFFrB6oB0hBmkB3qBxuB,v115@DhB8IeB8GeC8FeE8JezKYaAFLDmClcJSAVDEHBEooR?BPoAVBz/DxCa+AAAvhFXlBOpB6oBlmB0pBxvB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVB6/DxCT+AAAvhF0lBOpB6oBlmBXrBxuB,v115@DhB8IeB8GeC8FeE8Je0KYaAFLDmClcJSAVDEHBEooR?BaoAVBqSltCUHBAAvhF2uB6tBRrB/pBFlBTrB,v115@DhB8IeB8GeC8FeE8JezKYaAFLDmClcJSAVDEHBEooR?BPoAVBzCmFDK+AAAvhFXlB6oBlmBMkB2uBxvB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBpyaFD0/AAAvhFxpB6oBTpB0mB1qBmpB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVBpCmPCaNBAAvhFZkB6oBlmBWlB0lBXrB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVBpCmPCzXBAAvhFZkB6oBlmBWlBXmB0qB,v115@DhB8IeB8GeC8FeE8JeRPYaAFLDmClcJSAVDEHBEooR?BJoAVB6CegCz/AAAvhF0kB6oBlmBTgBXmBOpB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVBseltCqXBAAvhF6oBlmBxkBXmBOpB0qB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVBseNFDKNBAAvhF6oBlmBxkB0lBOpBXrB,v115@DhB8IeB8GeC8FeE8Je0KYaAFLDmClcJSAVDEHBEooR?BaoAVBM+dgCKNBAAvhF6oBRmBlkBTmBOpBXqB,v115@DhB8IeB8GeC8FeE8JeXKYaAFLDmClcJSAVDEHBEooR?BToAVBM+dgCqXBAAvhF6oBRmBlkBTmBOpB0qB,v115@DhB8IeB8GeC8FeE8JemJYaAFLDmClcJSAVDEHBEooR?BKoAVBseltCvXBAAvhF6oBlmBxkBXmBTpB0qB,v115@DhB8IeB8GeC8FeE8JemJYaAFLDmClcJSAVDEHBEooR?BKoAVB6CegCT+AAAvhF0lB6oBlmBTpBXrBxuB,v115@DhB8IeB8GeC8FeE8JemJYaAFLDmClcJSAVDEHBEooR?BKoAVBseNFDTHBAAvhF6oBlmBxkB0lBXrBTpB
TILJSZO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
